2026-03-22 11:41:59,670 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-03-22 11:42:36,965 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 11:42:39,582 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 11:44:11,742 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-03-22 11:44:47,337 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 11:50:13,439 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-03-22 11:50:53,175 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 11:50:55,699 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 12:14:10,860 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-03-22 12:14:47,553 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 12:14:50,012 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 13:32:08,696 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-03-22 13:32:54,035 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 13:32:57,830 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 13:44:24,582 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-03-22 13:48:18,647 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-03-22 13:49:04,536 | INFO     | ITS_App:174 | [Location] Using fallback coordinates (Beijing)
2026-03-22 13:49:11,258 | INFO     | ITS_App:258 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 13:49:41,757 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-03-22 13:50:12,481 | DEBUG    | ITS_App:125 | [Location] Trying IP location for: 117.162.112.68
2026-03-22 13:50:14,318 | INFO     | ITS_App:154 | [Location] IP location success: 117.162.112.68 → (33.872029, -118.245801)
2026-03-22 13:50:21,254 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (33.872028589385465, -118.24580061262462)
2026-03-22 13:51:08,177 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-03-22 13:51:29,142 | DEBUG    | ITS_App:125 | [Location] Trying IP location for: 117.162.112.68
2026-03-22 13:51:29,431 | INFO     | ITS_App:154 | [Location] IP location success: 117.162.112.68 → (28.275237, 117.974394)
2026-03-22 13:51:32,600 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (28.275237281092302, 117.97439350685255)
2026-03-22 13:52:33,045 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-03-22 13:52:53,619 | DEBUG    | ITS_App:125 | [Location] Trying IP location for: 117.162.112.68
2026-03-22 13:52:53,903 | INFO     | ITS_App:154 | [Location] IP location success: 117.162.112.68 → (28.275237, 117.974394)
2026-03-22 13:52:57,656 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (28.275237281092302, 117.97439350685255)
2026-03-22 15:31:05,129 | DEBUG    | ITS_App:31 | 成功加载提示词: technical_agent
2026-03-22 15:31:05,663 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-03-22 15:38:24,868 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
2026-03-22 15:38:24,871 | DEBUG    | ITS_App:31 | 成功加载提示词: technical_agent
2026-03-22 15:38:54,955 | DEBUG    | ITS_App:31 | 成功加载提示词: comprehensive_service_agent
